DATE,Curbside Recycling Participants,Curbside Recycling Tonnage,Recycling Centers Participants,Recycling Centers Tonnage,Brush Pickup Requests,Brush Pickup Tonnage,Trash Flash Request,Trash Flash Tonnage,Garbage Tonnage,Refuse Collection Centers Participants,Refuse Collection Centers Tonnage,HHW Collection Participants,HHW Tonnage
Jan-10,"10,307",184.1,N/A,N/A,"2,512",622.6,1094,88.74,"4,070.90",N/A,202.03,N/A,10.2
Feb-10,"10,552",163.74,N/A,N/A,"1,935",766.8,1211,119.9,"3,738.80",N/A,223.74,N/A,9.5
Mar-10,"10,762",187.72,N/A,N/A,"4,096",949.7,1731,148.2,"4,492.50",N/A,384.22,N/A,9.8
Apr-10,"10,997",195.6,N/A,N/A,"5,586","1,229.30",1780,161.85,"4,782.10",N/A,474.45,N/A,6.2
May-10,"11,150",170.4,N/A,N/A,"5,795","1,181.80",1539,106.76,"4,451.00",N/A,508.76,N/A,8.8
Jun-10,"11,468",208.79,N/A,N/A,"6,969","1,279.20",1814,161.31,"4,829.10",N/A,462.65,N/A,6.6
Jul-10,"11,627",187.47,N/A,N/A,"6,061","1,121.40",1736,155.09,"4,695.80",N/A,410.8,N/A,6.2
Aug-10,"11,795",195.74,N/A,N/A,"6,816","1,163.80",1809,158.84,"4,601.20",N/A,393.33,N/A,4.1
Sep-10,"11,909",185.43,N/A,N/A,"5,337",939.5,1547,131.41,"4,708.10",N/A,420.61,N/A,6
Oct-10,"12,002",178.86,N/A,N/A,"4,933",985.7,1525,89.97,"4,035.80",N/A,448,N/A,9.3
Nov-10,"12,114",215.69,N/A,N/A,"3,789",938,1310,134.28,"4,472.40",N/A,356.26,N/A,10.1
Dec-10,"12,227",231.97,N/A,N/A,"2,205",573.4,1042,99.06,"4,521.30",N/A,280.84,N/A,8.4
Jan-11,"12,374",152.23,"13,639",240.7,"2,382",572.9,1014,101,"3,651.80",N/A,119.39,N/A,4.4
Feb-11,"12,484",201.23,"14,663",182.3,"3,062",748.3,1497,130.52,"3,790.50",N/A,156.89,N/A,7.2
Mar-11,"12,573",142.93,"13,777",203.6,"6,519","3,150.40",1762,182.19,"4,851.30",N/A,211.03,N/A,6.3
Apr-11,"12,678",184.69,"15,160",188.3,"7,077","2,816.20",1605,144.26,"4,710.30",N/A,215.04,N/A,6.8
May-11,"12,786",194.18,"12,404",166.5,"9,322","5,180.40",1416,145.92,"5,103.10",N/A,197.17,N/A,7.3
Jun-11,,217.8,"17,511",188.5,"5,565","2,217.60",1662,206.86,"4,953.50",N/A,224.9,N/A,8.8
Jul-11,,193.03,"16,004",172.1,"3,204","1,685.40",1345,161.49,"4,538.60",N/A,175.3,N/A,8.6
Aug-11,,176.83,"15,726",198,"2,999","1,380.70",1692,228.68,"4,535.10",N/A,181.11,N/A,8.4
Sep-11,"12,883",159.97,"16,289",190.6,"4,085","2,889.00",1414,185.39,"4,606.60",N/A,149.74,N/A,7.8
Oct-11,"12,985",160.08,"14,365",164.2,"3,824","1,895.30",1464,149.52,"4,078.80",N/A,185.4,N/A,7.5
Nov-11,"13,100",183.6,"12,748",170.4,"2,606","1,403.00",1217,128.49,"4,413.70",N/A,140.92,N/A,7.1
Dec-11,"13,184",246.08,"15,127",220,"1,725",971.3,1267,156.56,"4,623.50",N/A,144.77,N/A,3.4
Jan-12,"13,260",199.7,"12,296",219.4,"2,151","1,244.80",1276,164,"4,406.10","2,256",335.3,133,2.6
