Category,PermitNum,PermitClass,DateIssued,ProjectType,ResidentialType
Building & Trades Permits,RB-24-1037,Simple Residential Building Permit,2024-08-13 18:43:00,New Construction,Single-Family
Building & Trades Permits,RB-24-984,Simple Residential Building Permit,2024-08-12 15:38:00,New Construction,Single-Family
Building & Trades Permits,RB-24-960,Simple Residential Building Permit,2024-08-12 14:57:00,New Construction,Single-Family
Building & Trades Permits,RB-24-962,Simple Residential Building Permit,2024-08-12 14:56:00,New Construction,Single-Family
Building & Trades Permits,RB-24-961,Simple Residential Building Permit,2024-08-12 14:55:00,New Construction,Single-Family
Building & Trades Permits,RB-24-700,Simple Residential Building Permit,2024-08-09 18:07:00,New Construction,Single-Family
Building & Trades Permits,RB-24-1040,Simple Residential Building Permit,2024-08-09 15:30:00,New Construction,Single-Family
Building & Trades Permits,RB-24-1043,Simple Residential Building Permit,2024-08-08 19:02:00,New Construction,Single-Family
Building & Trades Permits,RB-24-1039,Simple Residential Building Permit,2024-08-08 17:09:00,New Construction,Single-Family
Building & Trades Permits,RB-24-948,Simple Residential Building Permit,2024-08-08 14:25:00,New Construction,Single-Family
Building & Trades Permits,RB-24-1036,Simple Residential Building Permit,2024-08-08 12:37:00,New Construction,Single-Family
Building & Trades Permits,RB-24-944,Simple Residential Building Permit,2024-08-02 18:09:00,New Construction,Single-Family
Building & Trades Permits,RB-24-1017,Simple Residential Building Permit,2024-08-01 12:41:00,New Construction,Single-Family
Building & Trades Permits,RB-24-911,Simple Residential Building Permit,2024-07-31 18:25:00,New Construction,Single-Family
Building & Trades Permits,RB-24-789,Simple Residential Building Permit,2024-07-31 16:41:00,New Construction,Single-Family
Building & Trades Permits,RB-24-849,Simple Residential Building Permit,2024-07-30 19:35:00,New Construction,Single-Family
Building & Trades Permits,RB-24-978,Simple Residential Building Permit,2024-07-30 19:28:00,New Construction,Single-Family
Building & Trades Permits,RB-24-966,Simple Residential Building Permit,2024-07-30 17:38:00,New Construction,Single-Family
Building & Trades Permits,RB-24-850,Simple Residential Building Permit,2024-07-29 20:12:00,New Construction,Single-Family
Building & Trades Permits,RB-24-981,Simple Residential Building Permit,2024-07-29 14:35:00,New Construction,Single-Family
Building & Trades Permits,RB-24-975,Simple Residential Building Permit,2024-07-26 13:58:00,New Construction,Single-Family
Building & Trades Permits,RB-24-1008,Simple Residential Building Permit,2024-07-26 01:27:00,New Construction,Single-Family
Building & Trades Permits,RB-24-947,Simple Residential Building Permit,2024-07-25 14:26:00,New Construction,Single-Family
Building & Trades Permits,RB-24-971,Simple Residential Building Permit,2024-07-25 12:36:00,New Construction,Single-Family
Building & Trades Permits,RB-24-972,Simple Residential Building Permit,2024-07-25 12:33:00,New Construction,Single-Family
Building & Trades Permits,RB-24-974,Simple Residential Building Permit,2024-07-24 20:26:00,New Construction,Single-Family
Building & Trades Permits,RB-24-794,Simple Residential Building Permit,2024-07-24 19:38:00,New Construction,Single-Family
Building & Trades Permits,RB-24-433,Simple Residential Building Permit,2024-07-23 19:28:00,New Construction,Single-Family
Building & Trades Permits,RB-24-755,Simple Residential Building Permit,2024-07-23 16:52:00,New Construction,Single-Family
Building & Trades Permits,RB-24-963,Simple Residential Building Permit,2024-07-23 12:51:00,New Construction,Single-Family
Building & Trades Permits,RB-24-942,Simple Residential Building Permit,2024-07-22 20:22:00,New Construction,Single-Family
Building & Trades Permits,RB-24-941,Simple Residential Building Permit,2024-07-22 20:22:00,New Construction,Single-Family
Building & Trades Permits,RB-24-959,Simple Residential Building Permit,2024-07-22 15:03:00,New Construction,Single-Family
Building & Trades Permits,RB-24-907,Simple Residential Building Permit,2024-07-19 21:35:00,New Construction,Single-Family
Building & Trades Permits,RB-24-910,Simple Residential Building Permit,2024-07-19 00:28:00,New Construction,Single-Family
Building & Trades Permits,RB-24-839,Simple Residential Building Permit,2024-07-18 17:48:00,New Construction,Single-Family
Building & Trades Permits,RB-24-955,Simple Residential Building Permit,2024-07-18 14:29:00,New Construction,Single-Family
Building & Trades Permits,RB-24-949,Simple Residential Building Permit,2024-07-18 14:25:00,New Construction,Single-Family
Building & Trades Permits,RB-24-951,Simple Residential Building Permit,2024-07-18 14:04:00,New Construction,Single-Family
Building & Trades Permits,RB-24-927,Simple Residential Building Permit,2024-07-18 12:19:00,New Construction,Single-Family
Building & Trades Permits,RB-24-946,Simple Residential Building Permit,2024-07-16 19:39:00,New Construction,Single-Family
Building & Trades Permits,RB-24-884,Simple Residential Building Permit,2024-07-16 19:37:00,New Construction,Single-Family
Building & Trades Permits,RB-24-885,Simple Residential Building Permit,2024-07-16 18:14:00,New Construction,Single-Family
Building & Trades Permits,RB-24-883,Simple Residential Building Permit,2024-07-16 17:43:00,New Construction,Single-Family
Building & Trades Permits,RB-24-882,Simple Residential Building Permit,2024-07-16 17:39:00,New Construction,Single-Family
Building & Trades Permits,RB-24-888,Simple Residential Building Permit,2024-07-16 01:32:00,New Construction,Single-Family
Building & Trades Permits,RB-24-835,Simple Residential Building Permit,2024-07-15 19:50:00,New Construction,Single-Family
Building & Trades Permits,RB-24-928,Simple Residential Building Permit,2024-07-15 16:59:00,New Construction,Single-Family
